section,case,subcase_or_step,value1,value2,value3,value4
kernel,"h=3 (1,1,1)",1,0.34887019333052144,0.33318784163731474,0.015682351693206698,
kernel,"h=3 (1,1,1)",2,0.3729851130648072,0.31824408965321715,0.05474102341159004,
kernel,"h=3 (1,1,1)",3,0.38282348192005566,0.33420423933265875,0.048619242587396916,
kernel,"h=4 (2,1,1)",1,0.2821511882444574,0.30552219911962025,-0.023371010875162856,
kernel,"h=4 (2,1,1)",2,0.3901402111916027,0.3146133215477813,0.07552688964382137,
kernel,"h=4 (2,1,1)",3,0.43852717457284923,0.33839384914979465,0.10013332542305459,
kernel,"h=5 (2,2,1)",1,0.26696285878511267,0.3087775220717028,-0.041814663286590115,
kernel,"h=5 (2,2,1)",2,0.3694356168153357,0.3296719930664598,0.03976362374887593,
kernel,"h=5 (2,2,1)",3,0.4405603307699333,0.34585108720425256,0.09470924356568072,
constraint_inversion,h=3 singleton,1,0.0,0.0,0.0,0.0
constraint_inversion,h=3 singleton,2,0.1511298066694785,0.4408916902438749,0.16666666666666666,0.25
constraint_inversion,h=3 singleton,3,0.05910830975612476,0.4415523133014129,0.07142857142857142,0.25
constraint_inversion,h=4 singleton,1,0.25084047498803497,0.14825825542073462,0.29411764705882354,0.11764705882352941
constraint_inversion,h=4 singleton,2,0.17399035847100483,0.7183945531459466,0.19047619047619047,0.38095238095238093
constraint_inversion,h=4 singleton,3,0.1191719921713103,0.7568585428887495,0.1744186046511628,0.3953488372093023
constraint_inversion,h=5 singleton,1,0.38093500969651245,0.5168993550989235,0.5714285714285714,0.21428571428571427
constraint_inversion,h=5 singleton,2,0.21627754951957617,0.7507684839226999,0.2857142857142857,0.39285714285714285
constraint_inversion,h=5 singleton,3,0.17554232884484747,0.7956766577800011,0.2962962962962963,0.46296296296296297
start_multiplicity,"h=4 (2,1,1)",singleton-start,0.6974644791189138,0.2540824960906224,0.4198723883601944,0.44961009863316287
start_multiplicity,"h=4 (2,1,1)",double-start,0.3025355208810865,0.3468606666409404,0.32159573944967407,0.4129766348070425
start_multiplicity,"h=5 (2,2,1)",singleton-start,0.28930115047378346,0.25061898361276325,0.4564665439093352,0.4575849967045149
start_multiplicity,"h=5 (2,2,1)",double-start,0.7106988495262165,0.27361589036622846,0.33400830839647594,0.4336301725959193
