case,post_square_distance,baseline_same_letter_probability,target_conditioned_same_letter_probability,uplift,target_event_probability_q
"h3 (1,1,1)",2,0.3182440896532173,0.37298511306480686,0.05474102341158954,0.08183798055004615
"h3 (1,1,1)",3,0.33420423933265875,0.3828234819200552,0.04861924258739647,0.08183798055004615
"h4 (2,1,1)",2,0.3146133215477823,0.3901402111916028,0.07552688964382048,0.08797229660957205
"h4 (2,1,1)",3,0.33839384914979553,0.4385271745728494,0.10013332542305386,0.08797229660957205
"h5 (2,2,1)",2,0.3296719930664602,0.3694356168153354,0.039763623748875154,0.02696188266428
"h5 (2,2,1)",3,0.34585108720425245,0.44056033076992923,0.09470924356567678,0.02696188266428
