mode,L,m_block_window,block_count,states,edges,spectral_radius,normalized_root_upper_bound
aa2f,4,2,66,66,1572,24.546768001198593,0.37192072729088776
aa2f,4,3,66,1572,20454,14.244834804487962,0.2158308303710297
aa2fr,4,2,60,60,696,12.435741945688324,0.20726236576147208
aa2fr,4,3,60,696,4350,7.048903841278078,0.11748173068796795
