case,one_endpoint_response_upper_bound,direct_diagnostic,pre_nonlocal_margin,echo_to_margin_ratio
"h3 (1,1,1)",-0.018184710249606724,-0.01818471024960688,0.0622764728,0.2919996819
"h4 (2,1,1)",-0.034210298987921016,-0.034768501715797887,0.00900052651649684,3.8009219711
"h5 (2,2,1)",0.01938114263397441,-0.0031780528512551725,0.0150828432,certificate insufficient
