lag,total_variance_response,local_component,tail_component,cumulative_total,cumulative_tail
0,1.57281595155231e-14,-5.07878119970523e-16,1.62360376354936e-14,1.57281595155231e-14,1.62360376354936e-14
1,0.0467286814021456,0.0633293167008995,-0.0166006352987538,0.0467286814021614,-0.0166006352987376
2,0.00523647306594234,0.0154093690666005,-0.0101728960006582,0.0519651544681037,-0.0267735312993958
3,-0.021347315382309,-0.0109489982960894,-0.0103983170862195,0.0306178390857947,-0.0371718483856153
4,-0.0367702168967072,-0.0257886732935849,-0.0109815436031222,-0.00615237781091243,-0.0481533919887375
5,-0.0320287502937731,-0.0223411221658151,-0.009687628127958,-0.0381811281046855,-0.0578410201166955
6,0.0147811279875674,0.00466054533575347,0.0101205826518139,-0.0234000001171182,-0.0477204374648816
7,0.032400526633615,0.0196034479802929,0.0127970786533221,0.00900052651649684,-0.0349233588115596
8,0.00737713736511381,0,0.00737713736511381,0.0163776638816106,-0.0275462214464458
9,-0.0183463274488934,0,-0.0183463274488934,-0.00196866356728275,-0.0458925488953392
10,-0.018556984432357,0,-0.018556984432357,-0.0205256479996398,-0.0644495333276962
11,0.00117287285878662,0,0.00117287285878662,-0.0193527751408531,-0.0632766604689095
12,0.0128003793431878,0,0.0128003793431878,-0.00655239579766531,-0.0504762811257217
13,0.00765567911221278,0,0.00765567911221278,0.00110328331454747,-0.0428206020135089
14,-0.00318763207291735,0,-0.00318763207291735,-0.00208434875836989,-0.0460082340864263
15,-0.00722794979694427,0,-0.00722794979694427,-0.00931229855531416,-0.0532361838833706
16,-0.00260031626947769,0,-0.00260031626947769,-0.0119126148247919,-0.0558365001528483
17,0.00283548182183296,0,0.00283548182183296,-0.00907713300295889,-0.0530010183310153
18,0.00344950450856963,0,0.00344950450856963,-0.00562762849438926,-0.0495515138224457
19,0.000499730936999768,0,0.000499730936999768,-0.00512789755738949,-0.0490517828854459
20,-0.00182559709985769,0,-0.00182559709985769,-0.00695349465724718,-0.0508773799853036
21,-0.00148708146037476,0,-0.00148708146037476,-0.00844057611762194,-0.0523644614456783
22,0.000155296979495066,0,0.000155296979495066,-0.00828527913812688,-0.0522091644661833
23,0.00100237358743243,0,0.00100237358743243,-0.00728290555069445,-0.0512067908787508
24,0.000554424572548542,0,0.000554424572548542,-0.00672848097814591,-0.0506523663062023
25,-0.000248367250726964,0,-0.000248367250726964,-0.00697684822887287,-0.0509007335569293
26,-0.000493306344863806,0,-0.000493306344863806,-0.00747015457373668,-0.0513940399017931
27,-0.00016821457177629,0,-0.00016821457177629,-0.00763836914551297,-0.0515622544735694
28,0.000186491416182486,0,0.000186491416182486,-0.00745187772933048,-0.0513757630573869
29,0.000220033299992766,0,0.000220033299992766,-0.00723184442933771,-0.0511557297573941
30,3.02289390547869e-05,0,3.02289390547869e-05,-0.00720161549028293,-0.0511255008183393
31,-0.000111089358096112,0,-0.000111089358096112,-0.00731270484837904,-0.0512365901764354
32,-8.89786339167988e-05,0,-8.89786339167988e-05,-0.00740168348229584,-0.0513255688103522
33,8.62672949103989e-06,0,8.62672949103989e-06,-0.0073930567528048,-0.0513169420808612
34,5.7928690900531e-05,0,5.7928690900531e-05,-0.00733512806190427,-0.0512590133899607
35,3.19329005952135e-05,0,3.19329005952135e-05,-0.00730319516130905,-0.0512270804893654
36,-1.36125808385384e-05,0,-1.36125808385384e-05,-0.00731680774214759,-0.051240693070204
37,-2.73909079277959e-05,0,-2.73909079277959e-05,-0.00734419865007539,-0.0512680839781318
38,-9.50237555302864e-06,0,-9.50237555302864e-06,-0.00735370102562842,-0.0512775863536848
39,9.94267944914318e-06,0,9.94267944914318e-06,-0.00734375834617927,-0.0512676436742357
40,1.18742724198853e-05,0,1.18742724198853e-05,-0.00733188407375939,-0.0512557694018158
