h,canonical_profile,exact_B_numerator,exact_B_denominator,B_float,deleted_edge_count,q_v,q_v_over_q_h,lambda_old,lambda_v,delta_lambda,a_old_method_A,a_old_method_B,a_v_method_A,a_v_method_B,delta_a,sign_delta_a,C_old,C_v,delta_C,rho_a,rho_C,most_balanced
2,1,1,0,2,3,0.6666666666666666,12,0.14814814814814814,0.8,3,2.5920527923861654,-0.40794720761383463,-0.2222222222222223,0.22222222242085263,-0.18731371085031726,0.25713073361560235,0.03490851137190504,1,-0.4134966715663439,-0.49055751882676296,-0.07706084726041906,0.23563245176035902,-0.5201607190078287,true
2,2,0,0,8,3,2.6666666666666665,3,0.037037037037037035,0.2,3,2.919639565839419,-0.08036043416058103,-0.2222222222222223,0.22222222242085263,-0.2774186320099252,0.16702581238735,-0.05519640978770293,-1,-0.4134966715663439,-0.33122558701708926,0.08227108454925464,-1.4903030642679793,2.2213192828298753,false
3,1,1,1,0,3,0,24,0.08183798055004621,0.7379425401328569,2.451109537473895,2.310758013905747,-0.14035152356814784,-0.29545922524986135,0.148985219270573,-0.250010644620216,0.1944337998246774,0.04544858062964535,1,-0.3110011175290201,-0.3675369477829634,-0.05653583025394332,0.5553482664672093,-0.6908263116215347,true
3,2,1,0,6,3,2,12,0.02906222657896998,0.26205745986714263,2.451109537473895,2.388008207079961,-0.06310133039393406,-0.29545922524986135,0.148985219270573,-0.32780253299622997,0.11664191144471989,-0.03234330774636862,-1,-0.3110011175290201,-0.2803155558228165,0.030685561706203623,-1.11289847866553,1.0558572180566619,false
4,2,1,1,2,3,0.6666666666666666,156,0.08797229660957194,1,2.228802901286542,2.066634965729263,-0.16216793555727893,-0.29104369285985204,0.15340075158164837,-0.28302895323949284,0.16141549121250864,0.008014739620359201,1,-0.3157194314504963,-0.3246598914536197,-0.008940460003123374,0.0911052675585958,-0.1016281300782887,true
5,2,2,1,2,3,0.6666666666666666,222,0.026961882664280082,0.40891102288717124,2.0666349657292633,2.0173963598493576,-0.049238605879905695,-0.28302895323949273,0.1614154911619844,-0.2658066640584547,0.17863778036052827,0.01722228918103802,1,-0.3246598914536198,-0.3456954307840748,-0.02103553933045499,0.6387643398454007,-0.7801954927399601,true
5,3,1,1,8,3,2.6666666666666665,216,0.03538618426574185,0.5366762026358217,2.0666349657292633,2.0087207929928153,-0.057914172736448055,-0.28302895323949273,0.1614154911619844,-0.32493164074241665,0.11951280370133463,-0.04190268750292392,-1,-0.3246598914536198,-0.28279224832341865,0.04186764313020114,-1.1841538830026055,1.1831635424657563,false
5,3,2,0,14,3,4.666666666666667,12,0.003587750778955764,0.05441277447700886,2.0666349657292633,2.061685951497539,-0.004949014231724114,-0.28302895323949273,0.1614154911619844,-0.2879707063656055,0.15647373809851706,-0.00494175312611278,-1,-0.3246598914536198,-0.31908852951280686,0.0055713619408129245,-1.3773958757389237,1.5528843233739058,false
6,2,2,2,0,3,0,126,0.006799318565480709,0.11895266058035468,1.9441605457400744,1.933617763744081,-0.010542781995993344,-0.3244134133581541,0.12003103101218585,-0.3181082761967574,0.12633616827381774,0.00630513716139669,1,-0.2832439888529527,-0.2888580905079325,-0.005614101654979775,0.9273189806706637,-0.8256859273342285,true
6,3,2,1,6,3,2,720,0.046384483859030066,0.8114868735067211,1.9441605457400744,1.8710974961590867,-0.07306304958098764,-0.3244134133581541,0.12003103101218585,-0.33591414172926953,0.1085303027156042,-0.011500728371115432,-1,-0.2832439888529527,-0.2735465341349717,0.009697454717981002,-0.24794343742334185,0.20906678076774837,false
6,4,1,1,18,3,6,90,0.00397606715980711,0.0695604659129237,1.9441605457400744,1.9393947338649737,-0.004765811875100612,-0.3244134133581541,0.12003103101218585,-0.33734634488604215,0.10709809954732191,-0.012932931527888047,-1,-0.2832439888529527,-0.2723851929328174,0.010858795920135333,-3.2526944360053163,2.7310393621877664,false
7,3,2,2,2,3,0.6666666666666666,1344,0.0240609711477053,0.562328827568517,1.8483339781843118,1.8110420298735659,-0.03729194831074589,-0.3522484411903505,0.09219600334612187,-0.3383677949782204,0.10607664947141893,0.013880646212130088,1,-0.2608617625856581,-0.27156292827123185,-0.010701165685573777,0.5768946783951356,-0.4447520268355564,true
7,3,3,1,8,3,2.6666666666666665,756,0.01657160889934894,0.3872949826542482,1.8483339781843118,1.8228818572662457,-0.025452120918066035,-0.3522484411903505,0.09219600334612187,-0.36628713251965345,0.07815731194685213,-0.014038691329302966,-1,-0.2608617625856581,-0.2508637106765824,0.009998051909075656,-0.8471531892026798,0.6033241533637965,false
7,4,2,1,14,3,4.666666666666667,180,0.002102172500704288,0.049129862232537444,1.8483339781843118,1.8452931939861341,-0.0030407841981776595,-0.3522484411903505,0.09219600334612187,-0.35818350085973366,0.08626094361871947,-0.00593505966938318,-1,-0.2608617625856581,-0.2565393129957406,0.004322449589917454,-2.8232981201089657,2.056182158442901,false
7,5,1,1,32,3,10.666666666666666,12,0.000053327963325758545,0.001246327544698902,1.8483339781843118,1.848288904132967,-0.00004507405134468456,-0.3522484411903505,0.09219600334612187,-0.3525892283000128,0.09185521601163782,-0.0003407871096623438,-1,-0.2608617625856581,-0.26060963257442205,0.0002521300112360292,-6.39040174065182,4.727913753163062,false
