('a', 'f', 'a', (-1, 0, 0, 4, 1, 1))
('b', 'a', 'a', (-1, 0, 0, 3, 0, 1))
('e', 'a', 'a', (-1, 0, 0, 1, 0, -3))
('d', 'f', 'c', (1, 0, 0, 2, 5, -1))
('e', 'a', 'a', (1, 0, 0, 4, -3, 3))
('a', 'a', 'b', (0, 0, 0, 1, -3, -2))
('a', 'a', 'b', (0, 0, 0, 1, -3, -1))
('e', 'e', 'e', (0, 0, 0, 4, -3, 2))
('a', 'b', 'f', (1, 0, 0, 3, 5, 3))
('d', 'c', 'd', (0, 0, 0, 0, -3, 2))
('f', 'b', 'b', (1, 0, 0, 1, 4, 0))
('e', 'f', 'c', (1, 0, 0, 1, -3, 3))
('b', 'f', 'd', (1, 0, 0, -2, -3, 0))
('b', 'f', 'd', (1, 0, 0, -1, -3, 0))
('c', 'a', 'e', (1, 0, 0, 2, -2, 1))
('c', 'a', 'e', (1, 0, 0, 2, -1, 1))
('c', 'c', 'a', (0, 0, 0, 4, 4, 2))
('c', 'e', 'f', (-1, 0, 0, 3, -4, -3))
('c', 'e', 'f', (-2, 0, 0, 3, -4, -3))
('c', 'f', 'a', (1, 0, 0, -4, 3, 3))
('e', 'f', 'a', (1, 0, 0, 2, 2, 3))
('e', 'f', 'd', (0, 0, 0, -2, -3, 2))
('e', 'f', 'd', (0, 0, 0, -1, -3, 2))
('e', 'f', 'e', (-1, 0, 0, -4, 2, 1))
('a', 'a', 'f', (-1, 0, 0, 3, -2, -2))
('a', 'a', 'f', (-1, 0, 0, 3, -2, -1))
('a', 'a', 'f', (-1, 0, 0, 3, -1, -2))
('a', 'a', 'f', (-1, 0, 0, 3, -1, -1))
('a', 'a', 'f', (-2, 0, 0, 3, -2, -2))
('a', 'a', 'f', (-2, 0, 0, 3, -2, -1))
('a', 'a', 'f', (-2, 0, 0, 3, -1, -2))
('a', 'a', 'f', (-2, 0, 0, 3, -1, -1))
('b', 'e', 'e', (-1, 0, 0, 3, -5, -3))
('e', 'f', 'e', (0, 0, 0, -3, 0, 0))
('a', 'f', 'b', (-1, 0, 0, 4, -3, -3))
('c', 'c', 'a', (0, 0, 0, 2, 1, 0))
('b', 'f', 'a', (-1, 0, 0, 3, -3, 0))
('f', 'd', 'e', (1, 0, 0, 4, -3, -1))
('a', 'f', 'f', (1, 0, 0, 2, -3, 2))
('f', 'f', 'e', (2, 0, 0, 4, 6, 0))
('b', 'f', 'd', (-1, 0, 0, -4, 3, -2))
('b', 'f', 'd', (-1, 0, 0, -4, 3, -1))
('f', 'f', 'b', (0, 0, 0, -2, 4, 1))
('f', 'f', 'b', (0, 0, 0, -1, 4, 1))
('e', 'f', 'e', (1, 0, 0, -3, 1, 1))
('f', 'f', 'f', (0, 0, 0, 3, -2, 2))
('f', 'f', 'f', (0, 0, 0, 3, -1, 2))
('f', 'f', 'f', (2, 0, 0, 2, 3, 3))
('f', 'd', 'd', (1, 0, 0, 3, 0, 3))
('b', 'b', 'd', (0, 0, 0, 1, -3, -2))
('a', 'e', 'c', (0, 0, 0, -4, 2, 2))
('a', 'f', 'd', (0, 0, 0, -3, 4, 0))
('b', 'b', 'd', (0, 0, 0, 1, -3, -1))
('a', 'c', 'd', (0, 0, 0, 4, 4, 0))
('e', 'e', 'a', (0, 0, 0, 4, 4, 0))
('a', 'e', 'd', (0, 0, 0, 0, 3, 2))
('f', 'f', 'e', (1, 0, 0, -4, 5, 3))
('f', 'f', 'f', (-1, 0, 0, -4, -5, 0))
('e', 'f', 'd', (2, 0, 0, -2, 4, 4))
('e', 'f', 'd', (2, 0, 0, -1, 4, 4))
('f', 'f', 'f', (-2, 0, 0, -4, -5, 0))
('b', 'b', 'f', (-1, 0, 0, 4, -4, -3))
('a', 'd', 'c', (0, 0, 0, 0, 1, 2))
('c', 'f', 'c', (1, 0, 0, 2, 5, 1))
('e', 'f', 'f', (0, 0, 0, 2, -3, 0))
('c', 'e', 'e', (0, 0, 0, -4, -4, -2))
('c', 'e', 'e', (0, 0, 0, -4, -4, -1))
('f', 'd', 'b', (1, 0, 0, 0, -2, -1))
('f', 'd', 'b', (1, 0, 0, 0, -1, -1))
('e', 'e', 'a', (-1, 0, 0, -3, 1, -2))
('c', 'e', 'e', (-1, 0, 0, -4, -3, 0))
('d', 'f', 'd', (-1, 0, 0, 3, -5, -2))
('b', 'e', 'e', (0, 0, 0, -2, 2, 0))
('b', 'e', 'e', (0, 0, 0, -1, 2, 0))
('d', 'f', 'd', (-1, 0, 0, 3, -5, -1))
('e', 'e', 'a', (-1, 0, 0, -3, 1, -1))
('a', 'f', 'b', (2, 0, 0, 1, 4, 2))
('f', 'd', 'c', (1, 0, 0, -3, 5, 1))
('b', 'e', 'e', (0, 0, 0, -2, -4, 1))
('a', 'b', 'c', (1, 0, 0, 4, 5, 1))
('b', 'e', 'e', (0, 0, 0, -1, -4, 1))
('d', 'f', 'f', (-1, 0, 0, 2, -2, 1))
('d', 'f', 'f', (-1, 0, 0, 2, -1, 1))
('a', 'f', 'b', (2, 0, 0, 1, -2, 3))
('a', 'f', 'b', (2, 0, 0, 1, -1, 3))
('f', 'b', 'b', (0, 0, 0, -4, -2, 2))
('e', 'e', 'e', (1, 0, 0, 1, 0, 0))
('f', 'b', 'b', (0, 0, 0, -4, -1, 2))
('e', 'a', 'e', (0, 0, 0, -2, 0, 2))
('b', 'f', 'd', (2, 0, 0, 2, 2, 4))
('e', 'a', 'e', (0, 0, 0, -1, 0, 2))
('c', 'f', 'a', (-1, 0, 0, 4, 3, -2))
('c', 'f', 'a', (-1, 0, 0, 4, 3, -1))
('a', 'c', 'd', (0, 0, 0, 2, 1, -2))
('a', 'c', 'd', (0, 0, 0, 2, 1, -1))
('a', 'e', 'd', (0, 0, 0, -2, 0, 0))
('a', 'e', 'd', (0, 0, 0, -1, 0, 0))
('e', 'e', 'a', (0, 0, 0, 2, 1, -2))
('e', 'e', 'a', (0, 0, 0, 2, 1, -1))
('e', 'f', 'd', (0, 0, 0, -3, -4, 1))
('e', 'e', 'f', (-1, 0, 0, 3, 0, 0))
('a', 'f', 'c', (1, 0, 0, 3, 5, 2))
('a', 'd', 'c', (0, 0, 0, -2, -2, 0))
('a', 'd', 'c', (0, 0, 0, -2, -1, 0))
('a', 'd', 'c', (0, 0, 0, -1, -2, 0))
('a', 'd', 'c', (0, 0, 0, -1, -1, 0))
('e', 'c', 'd', (0, 0, 0, 4, -4, 1))
('c', 'a', 'f', (-1, 0, 0, 2, -3, 0))
('c', 'a', 'f', (-2, 0, 0, 2, -3, 0))
('e', 'e', 'a', (-1, 0, 0, 2, -5, -2))
('e', 'e', 'a', (-1, 0, 0, 2, -5, -1))
('f', 'c', 'd', (0, 0, 0, -3, 3, 1))
('f', 'c', 'c', (0, 0, 0, -2, 4, 1))
('b', 'f', 'a', (-1, 0, 0, 2, 2, -2))
('b', 'f', 'a', (-1, 0, 0, 2, 2, -1))
('f', 'c', 'c', (0, 0, 0, -1, 4, 1))
('f', 'c', 'd', (0, 0, 0, -3, -3, 2))
('a', 'd', 'd', (0, 0, 0, 4, 2, 1))
('f', 'f', 'c', (-1, 0, 0, -2, 2, -3))
('d', 'a', 'b', (0, 0, 0, 3, -3, 0))
('f', 'f', 'c', (-1, 0, 0, -1, 2, -3))
('f', 'f', 'e', (0, 0, 0, 4, 1, 1))
('e', 'a', 'a', (1, 0, 0, -3, 4, 3))
('f', 'f', 'c', (-1, 0, 0, -2, -4, -2))
('f', 'f', 'c', (-1, 0, 0, -2, -4, -1))
('f', 'f', 'c', (-1, 0, 0, -1, -4, -2))
('f', 'f', 'c', (-1, 0, 0, -1, -4, -1))
('f', 'b', 'c', (1, 0, 0, 1, 5, 1))
('e', 'd', 'b', (0, 0, 0, 1, 1, -2))
('e', 'd', 'b', (0, 0, 0, 1, 1, -1))
('a', 'a', 'f', (0, 0, 0, 4, -3, 2))
('c', 'f', 'c', (1, 0, 0, 4, -3, -1))
('e', 'f', 'c', (1, 0, 0, 3, -3, 3))
('e', 'f', 'e', (0, 0, 0, 3, -3, -2))
('b', 'f', 'a', (-1, 0, 0, 3, -5, 0))
('e', 'f', 'e', (0, 0, 0, 3, -3, -1))
('d', 'f', 'f', (-1, 0, 0, -2, 1, -3))
('a', 'f', 'd', (2, 0, 0, 2, 3, 0))
('d', 'f', 'f', (-1, 0, 0, -1, 1, -3))
('d', 'f', 'f', (-2, 0, 0, -2, 1, -3))
('d', 'f', 'f', (-2, 0, 0, -1, 1, -3))
('f', 'f', 'a', (2, 0, 0, 0, 2, 4))
('b', 'f', 'd', (2, 0, 0, -2, 5, 0))
('b', 'f', 'd', (2, 0, 0, -1, 5, 0))
('b', 'f', 'f', (0, 0, 0, 0, -2, 1))
('b', 'f', 'f', (0, 0, 0, 0, -1, 1))
('a', 'f', 'b', (-1, 0, 0, 0, 0, 1))
('c', 'c', 'b', (0, 0, 0, 4, -2, -2))
('c', 'c', 'b', (0, 0, 0, 4, -2, -1))
('c', 'c', 'b', (0, 0, 0, 4, -1, -2))
('c', 'c', 'b', (0, 0, 0, 4, -1, -1))
('f', 'd', 'c', (1, 0, 0, 4, -2, 0))
('f', 'd', 'c', (1, 0, 0, 4, -1, 0))
('e', 'e', 'a', (0, 0, 0, -3, 2, 1))
('c', 'f', 'd', (-1, 0, 0, 3, -5, 1))
('a', 'a', 'f', (0, 0, 0, -3, 4, 0))
('d', 'e', 'e', (0, 0, 0, -3, 2, -2))
('d', 'e', 'e', (0, 0, 0, -3, 2, -1))
('a', 'e', 'a', (-1, 0, 0, 1, 2, -3))
('d', 'f', 'c', (1, 0, 0, 4, 3, 3))
('c', 'a', 'a', (0, 0, 0, 0, 2, 1))
('c', 'a', 'e', (0, 0, 0, 1, -2, -2))
('c', 'a', 'e', (0, 0, 0, 1, -2, -1))
('c', 'a', 'e', (0, 0, 0, 1, -1, -2))
('a', 'f', 'c', (2, 0, 0, 4, 5, 4))
('c', 'a', 'e', (0, 0, 0, 1, -1, -1))
('d', 'f', 'd', (1, 0, 0, 0, -2, -1))
('d', 'f', 'd', (1, 0, 0, 0, -1, -1))
('d', 'a', 'f', (-2, 0, 0, 3, -5, -2))
('d', 'a', 'f', (-2, 0, 0, 3, -5, -1))
('a', 'f', 'a', (-1, 0, 0, 3, -4, 0))
('c', 'a', 'a', (-1, 0, 0, 0, -4, 1))
('c', 'e', 'e', (-1, 0, 0, -2, 1, 1))
('c', 'e', 'e', (-1, 0, 0, -1, 1, 1))
('f', 'f', 'f', (0, 0, 0, 4, 3, -2))
('f', 'f', 'f', (0, 0, 0, 4, 3, -1))
('e', 'f', 'c', (-1, 0, 0, -2, 1, -2))
('c', 'c', 'a', (0, 0, 0, -4, 1, 2))
('e', 'f', 'c', (-1, 0, 0, -2, 1, -1))
('e', 'f', 'c', (-1, 0, 0, -1, 1, -2))
('a', 'e', 'c', (0, 0, 0, 3, -2, 1))
('a', 'e', 'c', (0, 0, 0, 3, -1, 1))
('e', 'f', 'c', (-1, 0, 0, -1, 1, -1))
('f', 'e', 'e', (1, 0, 0, 3, -2, 2))
('f', 'e', 'e', (1, 0, 0, 3, -1, 2))
('d', 'f', 'a', (1, 0, 0, 3, 1, 1))
('f', 'f', 'd', (0, 0, 0, 4, -3, 2))
('a', 'd', 'd', (0, 0, 0, -4, 1, 1))
('a', 'f', 'c', (2, 0, 0, 2, 2, 2))
('a', 'a', 'a', (2, 0, 0, 1, 2, 4))
('b', 'f', 'e', (-1, 0, 0, 2, -2, -3))
('b', 'f', 'e', (-1, 0, 0, 2, -1, -3))
('d', 'a', 'f', (-2, 0, 0, 1, 1, -4))
('f', 'f', 'b', (-1, 0, 0, 3, -3, -3))
('b', 'f', 'd', (-1, 0, 0, 4, 1, -3))
('f', 'f', 'b', (1, 0, 0, -3, 1, 3))
('a', 'a', 'c', (0, 0, 0, 2, 0, -2))
('a', 'a', 'c', (0, 0, 0, 2, 0, -1))
('a', 'a', 'b', (-1, 0, 0, -4, 1, 0))
('e', 'd', 'a', (0, 0, 0, 0, 0, 2))
('a', 'e', 'f', (0, 0, 0, -3, 1, 1))
('c', 'c', 'e', (0, 0, 0, 3, -4, 2))
('f', 'd', 'd', (0, 0, 0, 2, 0, 0))
('a', 'f', 'e', (-1, 0, 0, -2, -5, -2))
('a', 'f', 'e', (-1, 0, 0, -2, -5, -1))
('a', 'f', 'e', (-1, 0, 0, -1, -5, -2))
('a', 'f', 'e', (-1, 0, 0, -1, -5, -1))
('b', 'f', 'c', (1, 0, 0, -4, -3, 0))
('c', 'd', 'd', (0, 0, 0, 4, 4, -2))
('c', 'd', 'd', (0, 0, 0, 4, 4, -1))
('f', 'd', 'c', (1, 0, 0, 2, -2, -1))
