h,profile,B,deleted_edge_count,q_v,q_v_ratio,lambda_old,lambda_v,a_old,a_v,delta_a,C_old,C_v,delta_C,rho_a,rho_C,structural_status
2,1,1,0,0.6666666666666667,6,0.07407407407407407,0.4,3,2.8311772072083383,0.22222222221798438,0.23448572776239598,0.012263505544411607,0.4134966715742296,0.3918709684969632,-0.02162570307726641,0.1655573248495567,-0.29194699154309656,ONE_SCC
2,2,0,0,2.666666666666667,9,0.1111111111111111,0.6,3,2.658967081916993,0.22222222221798438,0.14790436859462353,-0.07431785362336085,0.4134966715742296,0.6212673101550672,0.2077706385808376,-0.6688606826102477,1.8699357472275386,ONE_SCC
3,1,1,1,0,12,0.04091899027502319,0.36897127006642866,2.4511095374738896,2.377136110628312,0.1489852192124963,0.17212398512476648,0.02313876591227018,0.6167601707247623,0.5338486043671307,-0.08291156635763164,0.565477441079332,-2.0262368597164673,ONE_SCC
3,2,1,0,2,18,0.05545010356450821,0.5000000000000001,2.4511095374738896,2.309475663911622,0.1489852192124963,0.151964027726528,0.0029788085140317055,0.6167601707247623,0.6046703987230831,-0.012089772001679155,0.05372052210085218,-0.218029746105243,ONE_SCC
3,3,0,0,6,6,0.014531113289485023,0.13102872993357143,2.4511095374738896,2.4142135623730994,0.1489852192124963,0.12622317899276095,-0.022762040219735352,0.6167601707247623,0.727981579692548,0.11122140896778565,-1.5664347091840773,7.65401843286622,ONE_SCC
4,2,1,1,0.6666666666666666,96,0.047933814273638554,0.5448739673851265,2.228802901286545,2.1342844291174354,0.15340075158691616,0.15520978451882547,0.0018090329319093157,0.5990071644786039,0.5920254932498806,-0.006981671228723285,0.03774022491892957,-0.14565231944337237,ONE_SCC
4,2,2,0,2.666666666666667,6,0.004487469637872916,0.05101003168973371,2.228802901286545,2.2187045231759566,0.15340075158691616,0.15471677375487342,0.0013160221679572592,0.5990071644786039,0.5939120045415953,-0.005095159937008598,0.293265977077688,-1.1354193672993251,ONE_SCC
4,3,1,0,4.666666666666667,54,0.035551012698060505,0.40411600092514066,2.228802901286545,2.1480106930960843,0.15340075158691616,0.15014594163463335,-0.0032548099522828056,0.5990071644786039,0.6119922272728949,0.012985062794291014,-0.09155322746854895,0.36525155850200064,ONE_SCC
5,2,2,1,0.6666666666666666,132,0.01672589901737168,0.2536693954596124,2.066634965729246,2.0322159489764116,0.16141549119846604,0.15994800546918123,-0.0014674857292848176,0.569264749961239,0.5744876215706882,0.005222871609449231,-0.08773733045743447,0.3122625339316414,MULTI_SCC
5,3,1,1,2.666666666666667,192,0.024337056755851412,0.36910222093958467,2.066634965729246,2.0194331953555036,0.16141549119846604,0.14229585143223814,-0.01911963976622791,0.569264749961239,0.6457542388768998,0.07648948891566076,-0.7856184072723146,3.1429227323172606,MULTI_SCC
