idx	F	Fpos	AF_A	D	Csupport	bridges	ABCDF	Bnodes
1	22	1	5	0	0	0	0	0
2	6	3	12	0	0	0	0	0
5	38	2	2	0	0	0	0	0
6	20	1	4	0	0	0	0	0
7	109	5	15	0	0	0	0	0
8	12	3	22	0	0	0	0	0
9	20	2	6	0	0	0	0	0
11	4	2	24	0	0	0	0	0
12	42	1	4	0	0	0	0	0
