k	didx	D	B	F
1	2	bbcbacaaabaaacccbcccacccbbaccbcccaaabbcc	bbbaaacccabbcccbbbcabbcccacccbcccaaabaca	cbbbabbcaaabaacccbbaaacccaaabaaacaaabbca
2	2	bbcbacaaabaaacccbcccacccbbaccbcccaaabbcc	bbbaaacccabbcccbbbcabbcccacccbcccaaabcaa	cbbbabbcaaabaacccbbaaacccaaabaaacaaabbca
3	6	cbbbaaacabaaacccbcccacccbbaccbcccaaabbcc	bbbaaacccabbcccbbbcabbcccacccbcccaaabaac	cbbbabbcaaabaacccbbaaacccaaabaaacaaabbca
4	7	cbbbaacaabaaacccbcccacccbbaccbcccaaabbcc	bbbaaacccabbcccbbbcabbcccacccbcccaaabaac	cbbbabbcaaabaacccbbaaacccaaabaaacaaabbca
5	8	cbbbacaaabaaacccbcccacccbbaccbcccaaabbcc	bbbaaacccabbcccbbbcabbcccacccbcccaaabaac	cbbbabbcaaabaacccbbaaacccaaabaaacaaabbca
