idx	F	Fpos	AF_A	D	Csupport	bridges	ABCDF	Bnodes
13	272	1	2	0	0	0	0	0
15	2	1	7	0	0	0	0	0
16	83	8	40	0	0	0	0	0
17	14	1	11	0	0	0	0	0
20	2	1	1	0	0	0	0	0
21	18	2	24	0	0	0	0	0
22	23	3	59	0	0	0	0	0
